SKU,Units_Sold,Views
627324,559,856
260648,27,271
434378,911,1117
537813,448,735
237527,95,179
439104,180,515
128797,471,821
112626,397,540
161582,868,1214
568458,744,944
678515,615,729
677337,967,1217
378474,579,774
721850,66,485
292127,722,898
108446,761,1135
525756,256,311
271721,681,910
678424,73,425
153022,463,552
772933,183,636
101565,894,1204
817585,324,682
353221,143,572
790663,504,546
684333,471,627
284928,60,73
634650,499,969
143100,78,317
89278,433,784
562827,779,958
241977,942,1293
174196,178,310
157859,895,1221
623301,47,110
421912,975,1265
658502,693,1020
781587,950,1203
495573,836,1201
701129,516,736
622803,65,502
485869,282,448
748839,541,560
808492,344,702
546448,550,622
521207,284,484
248198,892,976
848406,775,1189
478686,671,930
85159,963,1342
579709,263,685
437635,756,942
689378,324,611
556453,601,1046
200731,361,677
863466,521,747
800949,373,428
639730,438,780
574212,48,224
474099,388,745
583260,10,29
292132,676,1123
414022,521,1007
281878,947,1095
398170,804,1123
483758,995,1016
828997,951,998
205584,65,511
279142,508,846
645942,129,419
99140,588,1012
597502,33,400
145108,500,675
173039,662,862
472774,369,765
192330,457,609
81780,897,946
524267,670,884
778282,621,905
837497,291,780
380064,797,967
581702,707,771
702444,553,813
416482,322,807
422079,511,879
461855,984,1338
632463,171,498
817842,204,432
197366,680,779
898496,241,656
102062,215,488
790849,602,754
463164,691,1142
115134,5,263
124607,648,1107
853800,429,447
310695,925,1171
407328,170,261
735693,375,639
788668,826,1115
622986,120,538
581310,367,694
469597,938,1105
751649,97,590
402512,163,282
834113,542,850
883371,234,293
815046,163,613
732745,409,435
520920,678,831
756292,231,353
451437,387,675
817670,751,1090
779728,498,559
590901,132,420
274033,600,1016
788963,683,806
610475,567,1030
443580,646,1101
481036,912,1396
542088,991,1449
855201,670,694
871585,721,1220
711005,187,224
605955,901,1338
726374,165,384
825859,909,957
482748,61,119
725394,165,427
210207,855,1344
459994,922,1019
383433,127,309
488386,810,1225
889676,467,939
758065,283,306
88391,716,991
896963,825,844
537658,652,1136
846708,739,952
726138,641,1004
416535,549,1039
129095,575,927
559961,233,676
173874,71,257
577798,720,858
356235,386,493
590329,54,68
133196,214,415
107354,460,722
379288,433,880
223651,691,786
319319,992,1266
704819,67,225
807557,717,1093
787581,500,698
381180,599,877
487731,4,348
887778,735,998
175638,169,434
490688,677,919
775794,534,583
168008,664,1013
437749,69,318
446430,643,1109
854216,751,1162
620448,997,1418
252087,80,101
475788,528,916
129124,589,688
249054,502,814
745877,548,752
205422,220,545
519638,359,480
807441,50,301
862619,972,1212
695983,709,1146
449960,651,988
572353,273,770
778775,846,1001
290351,633,1123
457500,382,675
697224,665,955
776550,45,89
678844,412,759
849469,290,487
107041,393,644
746059,864,932
142734,611,931
491198,213,362
505676,984,1069
133038,378,771
723719,61,425
638301,148,270
818770,827,1021
760316,585,667
570891,925,1117
604899,97,297
791132,171,282
487709,725,915
110229,905,1238
256333,947,1422
839346,574,830
689168,514,908
665178,494,757
552748,313,737
671455,280,697
626995,119,397
821735,123,586
159240,510,585
872546,455,495
208001,61,281
721869,840,1129
153477,64,451
257114,885,1221
575957,112,353
236922,750,1098
783410,553,870
769337,735,991
757932,340,633
651942,142,601
314865,385,830
374578,648,884
667990,364,374
698993,249,400
474447,658,945
732381,759,830
574987,958,996
560232,952,1342
153823,897,988
881310,869,935
344298,750,1173
119284,559,743
515280,968,1263
145643,622,645
310823,956,1023
436786,162,466
456935,434,648
657071,727,1080
94307,638,1053
224463,697,789
575765,617,767
741639,829,1220
516508,27,286
756074,284,503
692371,380,406
129362,680,906
385125,388,680
496573,562,850
767320,564,1022
124224,644,741
857758,282,614
736471,528,1020
191208,968,1466
246783,852,1274
686819,912,1197
153124,905,1128
753929,22,242
119337,998,1445
578868,636,928
177650,114,372
818783,905,1277
848826,538,677
346945,781,900
369755,444,647
657876,953,1149
705837,821,1017
693606,519,799
850059,485,527
644378,798,1182
96938,636,711
784698,83,312
784723,230,525
151109,983,1012
88025,901,993
412423,865,1260
610664,491,512
668910,718,841
334005,2,402
850122,398,756
152713,290,338
558799,13,278
188001,777,989
385246,288,553
490501,865,1081
157339,502,722
444051,276,374
382449,746,953
611348,371,510
541295,647,985
435825,316,432
530050,614,695
103454,941,1307
333850,141,282
257621,338,663
654084,79,483
545336,894,1268
412580,70,176
683519,61,497
167853,484,770
748455,432,661
106060,754,1230
139646,808,1270
404889,956,1389
625281,229,478
492293,827,928
866903,978,1346
401090,996,1080
848090,221,596
195261,522,948
706966,528,989
282595,695,943
309757,243,460
471502,609,906
221089,556,696
849059,954,1390
486015,837,1170
886304,420,845
715314,45,320
345823,639,712
201125,211,562
798888,92,580
482313,431,672
712515,277,703
287649,606,1092
603633,967,1362
769008,761,799
852048,560,767
180128,29,515
731846,121,386
634600,360,383
662408,697,799
177846,880,1107
338869,725,908
808558,473,602
355513,901,1043
553274,573,622
344467,838,907
771016,370,534
510450,674,782
653963,277,474
571163,123,222
345981,604,1064
726091,48,329
438998,663,874
619118,705,1198
644275,705,1164
840312,388,544
470469,563,785
451469,654,898
489435,613,662
320459,501,555
720386,810,971
628352,414,610
92515,312,355
276910,350,428
301498,953,1143
322689,883,1018
713069,989,1408
115481,986,1094
616865,274,500
137422,521,773
721329,957,1318
479553,554,579
581510,1,494
136356,764,801
485988,692,710
472044,122,620
134590,733,1094
700242,912,959
789529,978,1266
220028,697,1023
104565,935,1269
753918,114,457
665313,703,1022
628655,736,1167
382463,795,1085
732618,533,970
828894,567,971
568410,106,484
307085,618,1103
145516,91,466
546482,648,779
555852,13,316
186574,914,1341
518551,177,258
247804,626,967
209156,316,630
390983,65,450
574404,156,406
789304,910,1078
508854,789,1038
490748,881,1290
500624,620,637
531128,105,143
500037,130,176
191292,890,1226
439877,305,333
887659,133,356
333574,403,704
111347,162,395
177018,335,408
891485,766,1131
848236,504,853
358823,410,450
763307,284,679
89223,843,1004
263080,771,818
529718,338,820
310622,1,345
156446,71,204
557016,190,567
668943,869,897
872040,169,408
398084,195,556
749433,62,491
192846,335,469
84678,871,998
623511,623,1066
313154,843,918
685931,878,949
482533,179,191
475038,813,1140
363298,256,501
835733,615,926
884007,296,449
491616,544,783
878723,138,383
204545,929,1068
574959,743,1215
89539,524,701
504030,856,1090
837247,922,933
327809,790,1205
530502,882,1050
500769,401,895
294377,392,754
536923,478,753
119020,331,804
244357,489,969
323047,994,1177
405649,281,470
311716,859,944
219920,970,1461
593843,492,556
859894,306,752
755912,39,442
525051,127,205
805971,3,434
751431,166,278
169073,988,1126
485394,920,1049
625660,480,843
213678,870,1140
89820,442,826
875970,188,202
704579,496,897
652374,388,826
267726,255,602
355229,85,522
801456,307,654
111281,207,616
389546,780,1220
338508,570,967
649831,467,498
179715,221,688
178173,3,173
623908,279,296
304031,962,1308
824824,528,685
486145,50,523
177155,928,1333
272385,970,1330
799750,593,688
80667,565,922
699059,971,1110
105388,568,932
188378,379,432
291399,82,277
527443,873,1109
323706,776,1161
896124,480,519
319465,801,1005
546829,683,739
368146,49,73
163443,984,1402
96631,705,908
834053,363,388
894861,843,1139
116208,253,559
125241,920,1324
131582,286,398
542306,500,776
691417,985,1145
475120,4,173
248889,11,158
405891,926,1095
429348,923,1135
696821,263,350
119638,618,1013
720951,565,847
203283,311,544
191010,167,532
360922,421,784
103568,961,1317
580126,726,1053
471537,41,193
897774,575,683
212770,549,699
787841,446,625
851922,406,852
321802,79,421
713208,733,1090
460302,558,830
294921,54,291
847738,58,535
230396,12,309
272286,306,476
507349,861,1040
95816,719,1015
223399,743,1160
146757,782,1116
827623,734,1222
101298,418,646
581033,182,446
352716,541,926
858417,298,725
857015,149,594
211768,158,426
466824,22,394
96218,201,420
729634,887,1078
402292,296,782
590871,49,503
872824,955,1141
592363,614,801
720028,817,834
850787,495,939
140208,691,1013
745772,52,153
684309,706,720
228811,889,1294
750948,800,1175
655345,107,268
890023,365,777
592358,425,827
839912,201,615
646098,962,1042
381578,998,1104
137923,507,855
878637,47,83
147233,51,89
846096,976,1274
891950,537,782
177339,303,463
94442,211,353
470251,598,885
199032,936,1071
449396,433,457
269906,319,549
396089,64,535
780864,113,234
785547,28,56
367969,96,225
542610,28,239
598227,957,1396
617371,93,364
608727,691,865
650625,602,967
362931,816,1311
849477,865,883
844584,323,730
587187,228,424
296756,455,787
794347,567,616
603050,898,961
304289,850,1085
744988,29,277
650595,513,994
379573,135,543
322782,599,862
813766,530,755
544354,738,997
236336,737,1052
779889,163,333
716962,439,590
237473,19,55
647126,876,1212
524501,463,527
714248,231,433
897286,270,352
272292,366,461
108732,311,615
251555,514,896
581806,893,1279
442514,593,738
115509,375,612
111903,219,718
481333,212,430
437780,498,739
748760,338,429
562273,902,1094
614207,760,801
340660,149,347
483672,21,71
879992,895,1390
383948,253,734
189200,790,965
218194,741,989
685608,946,1287
197853,520,942
634536,348,791
424777,517,551
811011,857,1257
437083,163,543
347616,760,1189
808942,199,383
889094,377,427
188597,648,1133
224399,510,730
883035,675,1066
819552,512,725
149517,651,927
840985,258,300
852933,374,618
156726,577,956
634854,744,786
401032,242,440
233138,832,1019
305863,357,751
734902,542,643
173156,413,440
628154,37,123
766447,710,1115
118074,646,845
498920,931,988
109310,678,697
398127,559,680
554887,579,960
817948,678,951
410497,371,480
758309,445,732
288954,939,1203
598035,80,513
698915,368,723
806647,556,707
521924,127,621
268922,780,877
873034,274,412
351676,486,609
214119,615,982
389299,773,1064
603014,341,582
229972,593,817
793991,783,1100
139148,151,274
220619,759,1058
518953,915,1104
556229,3,427
345880,636,1099
440222,992,1184
573089,928,1239
188239,840,1014
436201,297,489
657960,833,1200
98191,397,662
448567,529,692
396744,916,1080
219236,737,1027
688462,482,868
833835,337,613
260301,43,197
601338,597,966
254933,626,905
87575,6,293
163441,286,392
685336,513,913
665176,162,354
306153,738,889
190250,735,1012
459732,161,507
370945,476,642
261946,152,503
152524,832,1322
798644,303,681
297406,611,626
640321,406,701
338630,482,973
543597,411,568
887852,593,1083
740279,404,564
369163,604,1035
266590,406,490
600945,185,453
392171,115,240
115492,679,705
214941,637,724
361980,201,647
785484,647,720
362385,61,555
164895,159,500
598808,850,963
294782,710,1099
514877,993,1443
455166,97,394
516176,153,368
212019,633,1127
412029,240,536
265198,201,504
741111,86,516
636020,574,638
828305,541,573
489221,133,184
866995,372,775
799502,720,1147
676981,836,1021
454861,872,1251
745726,472,592
134921,260,495
381683,600,837
745894,165,459
874700,456,794
579895,307,505
362750,897,1028
108314,589,1076
526468,908,1042
643923,897,1167
410958,357,489
471043,557,851
699988,613,676
330105,320,531
850270,390,666
390135,123,306
321400,396,729
680502,118,589
365289,565,1018
189770,838,977
545071,854,865
496572,957,1332
663934,371,740
138295,434,546
815019,450,572
172180,283,546
839111,127,142
192625,973,1027
133058,838,1070
362273,113,484
291656,623,1078
583814,643,1105
140885,306,365
389879,238,398
798325,897,1157
871809,212,651
124962,66,442
422585,357,677
466809,628,1127
177041,170,339
507028,398,726
254910,964,1082
275746,919,1204
828606,566,1004
267857,636,929
315751,50,422
197472,451,803
687378,754,1198
195076,407,860
571310,465,814
577001,716,1202
129788,554,1052
319640,570,647
105306,29,246
603968,711,875
325722,149,441
449490,30,474
468555,287,498
625311,80,527
594956,913,1050
322644,706,891
336377,925,1055
381897,907,1011
791043,779,945
347017,911,923
271591,848,934
462241,993,1481
650040,716,953
108652,16,230
774272,173,443
151775,678,1142
270214,739,935
707458,85,413
627859,305,514
866683,441,469
276537,980,1038
114634,255,355
356939,221,702
670476,168,260
890464,753,1049
448098,529,658
114044,667,727
660859,400,563
801162,473,919
522089,913,1130
234680,866,1052
466512,830,947
811619,6,497
858133,221,424
604850,43,513
123257,329,559
764205,833,1184
291608,751,885
551278,396,514
813424,582,688
691424,743,863
343112,382,652
628932,582,862
310530,411,878
315791,368,576
623416,631,913
800877,35,524
750098,822,974
475970,497,716
435890,373,815
118754,889,1269
328012,860,1041
775682,147,532
435187,685,981
772659,911,1015
776082,708,954
494933,523,848
162162,534,965
880174,892,1181
573727,72,407
744786,711,1091
766292,208,703
894243,982,1318
874425,32,234
405270,3,100
772552,512,652
265598,355,536
471813,717,879
537725,628,723
711112,927,1306
460869,223,359
340206,520,840
305557,390,632
835698,419,570
310732,290,606
637966,182,443
423417,644,807
788779,35,432
745129,582,608
336686,71,373
523370,518,835
154048,422,584
245989,675,999
640037,967,1165
770295,207,390
185670,935,1392
406001,351,373
383116,571,584
451294,46,436
276675,683,938
528391,650,810
468721,426,795
144472,948,1435
781345,752,1105
637418,378,849
890020,691,982
577263,681,1075
109625,806,1243
803586,264,615
276483,566,660
795270,947,1059
330040,766,1113
884130,120,333
175475,562,959
227616,349,426
819132,439,497
589674,482,898
518761,224,463
198631,495,545
264097,826,1156
381501,213,672
188666,62,308
456679,166,564
514060,205,238
510264,245,506
480843,968,1421
372794,731,1034
643546,779,835
162796,680,1174
562502,898,1024
150104,503,813
344650,615,1071
115198,831,1045
632287,231,434
684141,750,897
181778,106,370
257376,273,290
665908,528,551
744042,663,687
816610,124,416
497391,239,267
858201,372,679
226558,100,232
189452,976,1195
454242,159,441
315034,784,884
393679,38,305
648429,55,141
460151,262,588
329302,831,1102
869001,648,847
374759,596,658
209579,253,311
807271,462,475
479812,470,667
553121,242,660
887142,988,1124
161729,853,996
262905,329,703
435800,729,1070
429498,421,833
128774,186,355
245013,960,1321
746599,483,843
190240,742,759
599050,234,262
445348,797,835
227013,797,1215
88784,170,292
732398,228,501
417564,438,448
864314,534,807
555875,265,615
214614,200,535
449077,590,819
262107,815,1287
364351,667,1010
507286,790,825
361032,370,762
327012,677,1013
139769,614,770
732586,46,104
294519,681,1003
546890,335,516
729702,162,279
881634,468,876
494652,970,1004
278796,414,911
721609,719,923
444085,598,613
105519,915,1116
766288,170,412
722897,110,359
231177,696,875
496413,72,505
693491,862,1248
738654,836,1272
292296,973,1373
347646,222,494
692397,901,974
736591,303,716
425304,604,655
366049,823,1084
833428,253,746
476558,932,974
684683,871,1133
659019,950,966
270667,890,922
435941,363,733
97299,77,344
403051,283,494
705224,962,1152
388798,976,1301
194830,342,642
490742,260,300
509683,68,360
648672,404,648
691394,683,980
619971,700,720
443517,656,1050
471734,965,1018
709807,989,1025
373858,500,570
811351,874,1133
757728,745,892
438768,95,528
802356,294,435
855072,426,824
575942,558,774
828490,896,1074
479283,315,574
560041,703,791
90993,740,1132
804166,17,118
250895,575,812
265411,902,1295
667404,741,856
155234,891,1081
528811,982,1349
234158,106,437
759834,720,959
81071,128,276
462727,401,841
831899,147,226
201041,619,694
773323,729,771
189577,738,1182
815155,757,1067
612630,4,477
98307,248,608
582368,552,1004
797370,265,443
614707,842,1240
885485,206,392
845592,211,577
269239,68,193
279800,10,357
321396,401,627
516970,35,387
740761,855,1061
541087,992,1055
733764,951,1135
130451,602,896
598456,276,522
434131,245,306
354131,592,917
831947,742,1211
411417,842,1182
669186,913,1393
365174,971,1014
140080,627,834
345385,802,1091
143003,7,382
781308,278,743
885160,103,517
814949,443,937
620133,592,645
513511,515,607
240005,502,640
815011,694,1112
275645,416,747
735980,617,862
871428,870,1331
485866,988,1036
755298,891,908
562881,167,326
89817,70,227
250242,732,1181
585805,634,723
685969,480,956
522875,338,387
206404,485,649
239715,215,531
297434,863,1309
395582,351,538
418959,90,188
521357,58,378
847059,487,673
612944,801,1206
404917,345,442
253802,833,1038
418324,359,508
433950,582,696
518300,184,351
409038,47,76
823135,667,894
606154,455,699
721094,615,710
599228,564,963
110539,491,786
364015,691,1156
615694,179,326
574062,713,945
168438,162,425
585587,787,1158
781915,477,648
223078,414,598
712615,640,1055
585333,135,174
460016,42,198
413416,801,958
614047,874,1284
705993,909,1158
614086,545,862
233930,624,1011
238444,173,481
215161,258,560
845833,770,1186
377776,448,869
384636,769,1233
554928,408,429
454740,940,1217
471462,264,558
170998,936,1009
227822,948,1285
772161,855,1074
593768,105,428
703313,346,490
247782,530,964
618727,205,500
752355,941,1407
387354,917,1139
796702,75,490
88649,219,503
858910,245,573
174348,269,382
343447,753,1186
399246,853,1320
473472,544,796
611354,31,501
836378,702,1014
818976,803,1280
480301,489,708
647522,637,675
299056,762,1214
177253,943,1096
532856,683,756
418051,208,431
638122,83,533
752475,820,932
311561,947,1370
689174,373,809
706571,958,1084
167956,968,1463
863078,419,583
449639,450,733
584892,858,1013
351521,543,617
458570,122,495
503718,753,1150
160320,475,546
232851,18,388
792620,765,826
596554,884,976
382082,520,964
852035,732,1169
871904,100,459
774536,543,1019
763458,556,739
548996,677,1013
352934,142,260
858218,438,834
241356,326,353
886011,185,567
544732,219,500
732765,50,197
868271,16,95
762443,617,1100
467235,263,407
286374,216,451
670105,199,575
578171,749,865
273356,106,301
548144,277,501
671685,802,1299
356439,556,885
325686,453,865
91544,778,1006
631917,42,226
810792,196,356
775329,631,1129
241210,535,560
245848,438,644
436181,71,209
226844,870,1264
587944,837,1230
757819,855,887
259842,612,905
549817,266,741
208558,150,544
459664,536,667
858333,962,1410
141688,604,758
416317,671,681
729072,680,1021
117233,51,235
220015,710,1130
495543,27,489
191229,337,449
743307,808,1107
385401,993,1141
451950,228,535
536225,168,390
483373,212,644
600691,956,1168
377714,464,648
610522,65,221
407528,869,1071
319217,697,785
595425,905,1072
878823,121,270
424973,949,1162
130194,864,1070
214058,465,946
354188,670,1169
722869,376,830
808807,146,321
311351,567,824
158376,749,891
212060,261,298
530014,927,1217
387609,572,765
592619,257,469
217102,810,1043
431323,369,480
764978,845,943
231767,779,917
846182,967,1054
727121,629,950
192947,209,447
272916,245,685
716923,482,979
196277,661,1045
119211,326,571
718638,582,713
232188,857,1209
217515,555,605
358839,42,381
108692,865,1079
599481,202,489
523321,566,759
223604,802,1189
800116,653,1097
308610,960,1040
610482,976,1034
808838,668,1132
680251,647,756
515861,451,907
148130,96,218
644039,591,906
176768,519,936
188124,632,773
893050,742,975
227690,282,545
124652,700,904
869624,941,1003
515818,875,1039
771424,459,951
744094,236,654
862787,817,933
167922,827,1221
101899,813,1106
242906,527,812
545791,267,426
670028,259,430
704580,557,965
833636,932,1027
478156,670,904
643191,117,516
799795,23,220
815543,600,689
501570,28,321
733699,721,903
323283,505,823
256191,370,577
822363,213,272
339235,9,477
759581,105,595
279688,664,738
94174,386,415
512942,757,862
547828,54,474
402290,183,233
520067,991,1041
632294,91,311
326941,964,1157
144465,596,934
751613,760,1110
699249,581,670
435905,996,1289
240673,308,784
705196,543,623
84843,948,1359
729638,280,439
773700,856,1199
360639,361,584
270319,60,104
407478,906,1264
215542,225,302
851274,785,1277
369007,419,697
885530,116,267
255415,655,1057
729717,87,241
588890,843,1280
880703,237,464
317830,752,1162
146005,853,1296
791416,615,1054
677744,994,1459
815998,52,339
374288,692,1100
554073,320,414
735079,664,788
204418,691,1097
811605,575,934
357185,788,1084
490889,884,1016
872026,144,494
385537,138,560
855447,906,1073
164483,67,519
212095,142,162
155040,231,441
419651,192,483
740629,993,1118
498991,829,1039
643467,970,1203
366412,596,979
586222,623,1080
685758,249,356
105967,791,1031
796404,537,751
111037,650,713
355275,315,579
653765,621,898
826171,845,1055
743638,118,378
571264,850,1119
886584,359,786
371479,296,560
322992,800,983
154345,282,573
265600,161,391
761743,449,564
298957,578,1006
705606,414,782
171262,500,956
500103,847,916
520608,536,661
453967,877,904
604947,877,1255
775981,72,265
599918,293,352
292197,538,956
298805,271,289
180777,422,737
602083,334,555
468255,781,1145
189638,284,782
336503,258,674
614552,227,482
790303,785,1209
875278,45,457
210045,405,686
361676,793,810
854750,125,373
487091,285,662
165055,84,474
101754,955,1125
357373,311,655
527475,737,1128
652347,788,916
174566,368,840
228216,856,1047
894501,583,925
691744,625,867
776785,100,129
259652,803,1254
182057,429,756
767574,217,368
441921,653,965
81442,447,571
120669,874,1269
663841,116,181
502124,897,1241
200367,65,289
282977,106,382
265265,442,502
273292,782,1243
293743,967,1231
634346,650,713
662097,542,594
471735,163,213
740867,265,573
157480,912,1024
613941,966,1224
818372,799,1114
645735,187,256
224253,993,1352
176166,117,480
345678,431,654
618001,886,907
791624,170,521
144390,631,938
558292,848,1262
388986,948,964
83000,983,997
312177,928,1077
396469,148,504
846580,113,305
539112,816,984
291139,22,136
481651,961,1451
758257,267,694
388460,897,1029
315645,615,1035
326734,640,740
866851,829,1305
725064,944,1234
260978,905,968
165732,235,575
610395,207,663
755054,453,609
337800,861,1000
873713,634,1046
878027,980,1276
703926,327,426
308458,743,883
154035,715,817
573591,991,1188
719706,935,1333
152875,455,744
100873,135,423
120976,174,514
592104,489,924
736839,426,651
558060,114,193
695617,50,112
519693,846,1261
287710,269,404
247298,718,923
509618,686,852
647390,562,909
531682,483,974
784047,165,637
555517,194,683
231687,716,1182
443917,924,1035
227288,48,165
799649,336,603
82249,308,582
616937,106,248
768537,786,887
237559,368,733
603733,451,718
317044,692,1022
881698,676,856
704019,231,593
120464,246,450
753525,70,124
331593,600,1039
308225,996,1106
175970,559,573
660273,549,826
688710,220,558
472684,609,1076
503652,833,1141
306949,152,234
173742,973,1286
874255,588,700
666625,744,949
348585,475,587
679704,49,134
528530,213,551
188976,490,648
116437,196,637
874711,67,561
283565,138,480
785486,478,868
651724,666,1148
161934,713,1009
345198,854,1252
647036,192,623
410000,72,196
205215,407,806
529493,905,1112
116025,398,628
191412,270,493
300475,963,1130
682055,144,172
561234,633,946
162920,140,282
127503,717,1214
511494,949,1335
410626,391,423
368650,559,909
783005,626,816
676040,327,362
208790,485,750
181513,554,975
758784,80,121
392369,727,1108
861263,958,1320
587255,18,163
678681,300,613
774616,751,1084
274574,370,729
785160,521,909
644273,268,454
265668,565,1026
367161,426,756
846399,912,947
880010,235,426
612881,596,842
389016,37,362
153364,645,881
845594,799,1069
744289,882,1371
360404,720,854
322730,946,1071
193405,373,518
618715,680,958
857642,668,983
131344,990,1384
498041,667,871
638256,102,333
671281,604,676
530816,676,939
546139,827,880
371269,931,1184
666860,589,941
634844,511,845
829908,415,542
859291,172,354
666130,662,762
616413,87,532
745286,246,526
126216,405,552
134951,476,950
733658,149,278
312018,3,402
345510,703,1112
379890,913,1306
366328,201,253
344534,411,762
154840,382,738
129965,6,428
362204,238,454
196243,174,352
226055,640,660
185881,223,587
770656,743,1028
513449,266,539
533323,779,862
337945,435,853
312876,887,1105
396466,536,720
866508,894,1255
246309,374,685
824773,594,1054
806404,899,1106
852131,293,334
713112,101,427
868345,720,1006
638251,16,362
399380,713,968
163737,235,687
475305,318,575
826575,945,1259
307647,567,1031
743842,103,399
229747,598,969
676020,55,331
664417,434,491
816740,235,518
626944,903,1045
375045,878,1115
731888,953,1065
279473,870,948
424616,310,614
557856,572,738
536491,893,1106
655205,885,1258
136621,767,796
886553,972,1197
135433,141,605
105636,484,852
162096,48,76
283648,487,619
140020,44,439
204739,530,601
227335,710,880
124946,55,325
411070,768,784
368595,502,769
883559,165,567
422046,653,1137
679506,173,607
542287,69,449
729820,906,1295
734471,974,1254
225801,850,1292
437885,523,905
786611,705,1118
333923,439,901
610743,914,1167
137168,796,961
486091,137,582
322492,404,452
221730,774,1164
101209,428,906
731239,529,618
578451,891,1193
724434,618,1054
228917,232,300
315383,690,1088
681444,838,1317
802367,283,425
834881,61,486
190383,917,1136
813338,909,1109
750072,268,386
417692,729,990
673075,545,737
305701,45,493
799309,792,842
677153,868,1219
476396,851,927
478535,392,695
231918,790,906
739580,906,1302
501258,693,878
763671,149,447
586831,839,1007
481500,235,477
459369,914,1260
612366,454,597
155174,12,242
308897,41,192
104821,426,777
373527,721,959
611716,836,1315
408162,203,595
384229,394,865
606816,947,1340
605931,342,750
525282,751,1084
418499,318,756
266334,897,1113
501453,78,429
81574,210,281
512127,808,836
708398,840,910
796351,383,485
129437,566,839
240918,519,703
867610,280,383
190241,930,1062
864131,735,767
662263,819,1210
529795,493,904
329193,704,1006
616626,243,670
521858,130,512
535849,784,1047
618200,206,512
861606,832,1317
813390,31,285
366031,423,592
712029,301,683
754422,655,1096
166856,919,1277
832672,547,964
435556,474,588
768790,139,390
448184,141,621
881745,876,1025
324049,769,866
891197,271,595
283384,745,1120
224037,17,410
414529,252,412
183293,402,666
896437,438,895
513097,810,951
879065,536,824
710113,127,463
374868,130,335
295957,132,622
400693,339,686
80166,857,891
390108,584,919
820056,175,616
746374,254,461
736243,42,169
268572,296,751
513158,14,506
744916,575,976
350094,126,449
709190,480,514
146400,4,445
105537,150,508
864533,202,623
219689,652,694
195349,228,535
661621,884,1111
460363,390,432
433644,602,896
763384,239,356
723419,582,776
684179,427,741
735888,80,357
197697,656,1057
629370,692,712
687816,906,1138
324174,34,113
355659,358,683
826224,753,772
480763,885,1204
527776,880,988
750362,520,635
85311,863,961
325604,209,245
333788,730,777
566502,387,590
752389,675,762
205244,111,441
547590,914,1199
553070,599,801
190164,310,720
289488,955,1370
325695,661,740
374971,768,1020
685979,694,1054
671555,375,561
99364,476,969
483039,841,1077
851360,842,1026
533839,477,581
508241,686,1170
245766,56,225
306344,791,1050
859153,98,353
647929,37,378
169167,833,923
899188,632,1122
134436,726,973
600946,780,1091
305096,213,261
129451,554,861
662012,614,1053
444596,721,864
348897,29,270
